시군구별,연료별,용도별,승용,승합,화물,특수
강화군,전기,비사업용,845,1,645,2
강화군,전기,사업용,1116,26,72,0
옹진군,전기,비사업용,167,0,78,0
옹진군,전기,사업용,3276,2,7,0
중구,전기,비사업용,3365,8,345,2
중구,전기,사업용,104,146,188,0
동구,전기,비사업용,369,0,100,3
동구,전기,사업용,93,0,72,0
미추홀구,전기,비사업용,2765,1,549,5
미추홀구,전기,사업용,2105,0,430,0
연수구,전기,비사업용,10621,10,601,4
연수구,전기,사업용,520,109,232,0
남동구,전기,비사업용,7592,2,921,6
남동구,전기,사업용,1195,44,375,0
부평구,전기,비사업용,4113,3,574,4
부평구,전기,사업용,2083,75,398,0
계양구,전기,비사업용,2059,4,1128,7
계양구,전기,사업용,17627,0,286,0
서구,전기,비사업용,9428,16,1482,5
서구,전기,사업용,609,184,656,0
